Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,01/24/2024,"OREGON STATE     OSUPAYMENT 1053430         WEB ID: 9110996001",-3366.00,ACH_DEBIT,2120.59,,
DEBIT,01/08/2024,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-918.16,ACH_DEBIT,5486.59,,
DEBIT,01/03/2024,"DISCOVER         E-PAYMENT  3532            WEB ID: 3510020270",-67.80,ACH_DEBIT,6404.75,,
CREDIT,01/03/2024,"Zelle payment from YIFAN ZHANG 19475040170",2000.00,QUICKPAY_CREDIT,6472.55,,
DEBIT,01/02/2024,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-148.62,ACH_DEBIT,4472.55,,
DEBIT,01/02/2024,"BARCLAYCARD US   CREDITCARD 1080098283      WEB ID: 2510407970",-258.71,ACH_DEBIT,4621.17,,
CREDIT,01/02/2024,"Zelle payment from YIFAN ZHANG 19459973453",2000.00,QUICKPAY_CREDIT,4879.88,,
DEBIT,12/18/2023,"PGANDE           WEB ONLINE 75405488121323  WEB ID: 5940742640",-80.76,ACH_DEBIT,2879.88,,
DEBIT,12/08/2023,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-351.36,ACH_DEBIT,2960.64,,
DEBIT,12/04/2023,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-228.51,ACH_DEBIT,3312.00,,
DEBIT,12/01/2023,"APPLECARD GSBANK PAYMENT    62177446        WEB ID: 9999999999",-2.10,ACH_DEBIT,3540.51,,
DEBIT,11/17/2023,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-79.22,ACH_DEBIT,3542.61,,
DEBIT,11/09/2023,"PGANDE           WEB ONLINE 71822257110623  WEB ID: 5940742640",-74.50,ACH_DEBIT,3621.83,,
DEBIT,11/08/2023,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-138.79,ACH_DEBIT,3696.33,,
DEBIT,11/02/2023,"DISCOVER         E-PAYMENT  3532            WEB ID: 3510020270",-73.12,ACH_DEBIT,3835.12,,
DEBIT,11/02/2023,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-292.88,ACH_DEBIT,3908.24,,
DEBIT,10/20/2023,"OREGON STATE     OSUPAYMENT 1033298         WEB ID: 9110996001",-3366.00,ACH_DEBIT,4201.12,,
DEBIT,10/17/2023,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-346.72,ACH_DEBIT,7567.12,,
DEBIT,10/11/2023,"PGANDE           WEB ONLINE 68626285100523  WEB ID: 5940742640",-139.80,ACH_DEBIT,7913.84,,
DEBIT,10/10/2023,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-928.38,ACH_DEBIT,8053.64,,
DEBIT,10/02/2023,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-226.99,ACH_DEBIT,8982.02,,
DEBIT,10/02/2023,"DISCOVER         E-PAYMENT  3532            WEB ID: 3510020270",-6.56,ACH_DEBIT,9209.01,,
DEBIT,10/02/2023,"Zelle payment to Yifan Zhang JPM99a2u8xva",-2000.00,CHASE_TO_PARTNERFI,9215.57,,
DEBIT,09/15/2023,"TREASURY DIRECT  TREAS DRCT                 PPD ID: 9051736158",-24975.76,ACH_DEBIT,11215.57,,
DEBIT,09/08/2023,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-117.30,ACH_DEBIT,36191.33,,
DEBIT,09/07/2023,"PGANDE           WEB ONLINE 65148523090423  WEB ID: 5940742640",-126.00,ACH_DEBIT,36308.63,,
DEBIT,09/06/2023,"COMN CAP APY F1  AUTO PAY   P23247235158067 WEB ID: 1651180275",-24.94,ACH_DEBIT,36434.63,,
DEBIT,09/05/2023,"DISCOVER         E-PAYMENT  3532            WEB ID: 3510020270",-39.51,ACH_DEBIT,36459.57,,
DEBIT,09/05/2023,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-555.05,ACH_DEBIT,36499.08,,
DEBIT,08/17/2023,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-70.05,ACH_DEBIT,37054.13,,
DEBIT,08/10/2023,"PGANDE           WEB ONLINE 62083158080723  WEB ID: 5940742640",-111.85,ACH_DEBIT,37124.18,,
DEBIT,08/08/2023,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-2033.95,ACH_DEBIT,37236.03,,
DEBIT,08/02/2023,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-157.53,ACH_DEBIT,39269.98,,
DEBIT,08/02/2023,"DISCOVER         E-PAYMENT  3532            WEB ID: 3510020270",-57.08,ACH_DEBIT,39427.51,,
DEBIT,08/01/2023,"APPLECARD GSBANK PAYMENT    62177446        WEB ID: 9999999999",-24.99,ACH_DEBIT,39484.59,,
CREDIT,07/31/2023,"APA  TREAS 310     MISC PAY                 PPD ID: 9101036151",350.00,ACH_CREDIT,39509.58,,
CREDIT,07/31/2023,"APA  TREAS 310     MISC PAY                 PPD ID: 9101036151",412.50,ACH_CREDIT,39159.58,,
DEBIT,07/19/2023,"OREGON STATE     OSUPAYMENT 1017655         WEB ID: 9110996001",-2244.00,ACH_DEBIT,38747.08,,
DEBIT,07/17/2023,"Zelle payment to LAWRENCE K LEUNG, ATTORNEY AT LAW, SAN FRANCISCO, CA 17913244870",-300.00,QUICKPAY_DEBIT,40991.08,,
DEBIT,07/17/2023,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-37.14,ACH_DEBIT,41291.08,,
CREDIT,07/13/2023,"APA  TREAS 310     MISC PAY                 PPD ID: 9101036151",20000.00,ACH_CREDIT,41328.22,,
CREDIT,07/13/2023,"APA  TREAS 310     MISC PAY                 PPD ID: 9101036151",20000.00,ACH_CREDIT,21328.22,,
DEBIT,07/12/2023,"Zelle payment to JINGCHAO JPM999z6z1cd",-200.00,CHASE_TO_PARTNERFI,1328.22,,
DEBIT,07/12/2023,"PGANDE           WEB ONLINE 58793163070723  WEB ID: 5940742640",-142.11,ACH_DEBIT,1528.22,,
DEBIT,07/10/2023,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-45.28,ACH_DEBIT,1670.33,,
DEBIT,07/03/2023,"DISCOVER         E-PAYMENT  3532            WEB ID: 3510020270",-89.85,ACH_DEBIT,1715.61,,
DEBIT,07/03/2023,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-267.41,ACH_DEBIT,1805.46,,
DEBIT,06/20/2023,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-147.31,ACH_DEBIT,2072.87,,
DEBIT,06/12/2023,"PGANDE           WEB ONLINE 55472860060723  WEB ID: 5940742640",-151.09,ACH_DEBIT,2220.18,,
DEBIT,06/08/2023,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-468.43,ACH_DEBIT,2371.27,,
DEBIT,06/02/2023,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-165.50,ACH_DEBIT,2839.70,,
DEBIT,06/02/2023,"DISCOVER         E-PAYMENT  3532            WEB ID: 3510020270",-35.79,ACH_DEBIT,3005.20,,
DEBIT,06/01/2023,"APPLECARD GSBANK PAYMENT    62177446        WEB ID: 9999999999",-25.15,ACH_DEBIT,3040.99,,
DEBIT,05/17/2023,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-70.37,ACH_DEBIT,3066.14,,
DEBIT,05/11/2023,"PGANDE           WEB ONLINE 52352273050823  WEB ID: 5940742640",-170.67,ACH_DEBIT,3136.51,,
DEBIT,05/08/2023,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-1727.52,ACH_DEBIT,3307.18,,
DEBIT,05/02/2023,"DISCOVER         E-PAYMENT  3532            WEB ID: 3510020270",-5.49,ACH_DEBIT,5034.70,,
DEBIT,05/02/2023,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-343.95,ACH_DEBIT,5040.19,,
DEBIT,05/01/2023,"APPLECARD GSBANK PAYMENT    62177446        WEB ID: 9999999999",-35.13,ACH_DEBIT,5384.14,,
DEBIT,04/20/2023,"OREGON STATE     OSUPAYMENT 999108          WEB ID: 9110996001",-2196.00,ACH_DEBIT,5419.27,,
DEBIT,04/17/2023,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-184.40,ACH_DEBIT,7615.27,,
DEBIT,04/12/2023,"SMC TAX ECHECK   TAX COLL.  6694907         WEB ID: 2946000532",-5676.53,ACH_DEBIT,7799.67,,
DEBIT,04/11/2023,"PGANDE           WEB ONLINE 49209226040623  WEB ID: 5940742640",-203.31,ACH_DEBIT,13476.20,,
DEBIT,04/10/2023,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-3673.02,ACH_DEBIT,13679.51,,
DEBIT,04/03/2023,"DISCOVER         E-PAYMENT  3532            WEB ID: 3510020270",-205.00,ACH_DEBIT,17352.53,,
DEBIT,04/03/2023,"APPLECARD GSBANK PAYMENT    62177446        WEB ID: 9999999999",-7.63,ACH_DEBIT,17557.53,,
DEBIT,03/31/2023,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-230.53,ACH_DEBIT,17565.16,,
DEBIT,03/17/2023,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-637.59,ACH_DEBIT,17795.69,,
DEBIT,03/13/2023,"PGANDE           WEB ONLINE 46330171030823  WEB ID: 5940742640",-421.01,ACH_DEBIT,18433.28,,
DEBIT,03/02/2023,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-340.79,ACH_DEBIT,18854.29,,
DEBIT,03/02/2023,"DISCOVER         E-PAYMENT  3532            WEB ID: 3510020270",-242.37,ACH_DEBIT,19195.08,,
DEBIT,02/17/2023,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-445.06,ACH_DEBIT,19437.45,,
DEBIT,02/09/2023,"PGANDE           WEB ONLINE 43104419020623  WEB ID: 5940742640",-272.57,ACH_DEBIT,19882.51,,
DEBIT,02/08/2023,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-882.45,ACH_DEBIT,20155.08,,
DEBIT,02/07/2023,"APPLECARD GSBANK PAYMENT    62177446        WEB ID: 9999999999",-40.41,ACH_DEBIT,21037.53,,
DEBIT,02/02/2023,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-401.85,ACH_DEBIT,21077.94,,
DEBIT,02/02/2023,"DISCOVER         E-PAYMENT  3532            WEB ID: 3510020270",-182.44,ACH_DEBIT,21479.79,,
DEBIT,01/31/2023,"TREASURY DIRECT  TREAS DRCT                 PPD ID: 9051736158",-19972.72,ACH_DEBIT,21662.23,,
DEBIT,01/31/2023,"TREASURY DIRECT  TREAS DRCT                 PPD ID: 9051736158",-19994.68,ACH_DEBIT,41634.95,,
DEBIT,01/26/2023,"TREASURY DIRECT  TREAS DRCT                 PPD ID: 9051736158",-9548.03,ACH_DEBIT,61629.63,,
DEBIT,01/25/2023,"OREGON STATE     OSUPAYMENT 978544          WEB ID: 9110996001",-4392.00,ACH_DEBIT,71177.66,,
DEBIT,01/17/2023,"INTERNATIONAL INCOMING WIRE FEE",-15.00,FEE_TRANSACTION,75569.66,,
DEBIT,01/17/2023,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-187.00,ACH_DEBIT,75584.66,,
CREDIT,01/17/2023,"BOOK TRANSFER CREDIT B/O: BANK OF CHINA LIMITED HEAD OFFICE BEIJING CHINA 100818 CN ORG:/101669954610 1/HOU CHUNXIANG OGB: BANK OF CHINA SHIJIAZHUANG CHINA 050000 CN REF:/CHGS/USD10,00/ TRN: 4917222017FS",49990.00,WIRE_INCOMING,75771.66,,
DEBIT,01/11/2023,"PGANDE           WEB ONLINE 39861703010623  WEB ID: 5940742640",-162.15,ACH_DEBIT,25781.66,,
DEBIT,01/09/2023,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-273.17,ACH_DEBIT,25943.81,,
CREDIT,01/05/2023,"APA  TREAS 310     MISC PAY                 PPD ID: 9101036151",20000.00,ACH_CREDIT,26216.98,,
DEBIT,01/04/2023,"COMN CAP APY F1  AUTO PAY   P23003153640720 WEB ID: 1651180275",-59.14,ACH_DEBIT,6216.98,,
DEBIT,01/03/2023,"DISCOVER         E-PAYMENT  3532            WEB ID: 3510020270",-51.41,ACH_DEBIT,6276.12,,
DEBIT,01/03/2023,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-136.32,ACH_DEBIT,6327.53,,
DEBIT,12/20/2022,"ONLINE DOMESTIC WIRE FEE",-25.00,FEE_TRANSACTION,6463.85,,
DEBIT,12/20/2022,"ONLINE DOMESTIC WIRE TRANSFER VIA: FST REP BK SF/321081669 A/C: YIFAN ZHANG SANTA CLARA CA 95050 US REF: FOR YIFAN/BNF/FOR YIFAN IMAD: 1220B1QGC08C005640 TRN: 3001922354ES 12/20",-70000.00,WIRE_OUTGOING,6488.85,,
DEBIT,12/19/2022,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-308.27,ACH_DEBIT,76488.85,,
DEBIT,12/13/2022,"SMC TAX ECHECK   TAX COLL.  6541649         WEB ID: 2946000532",-5676.53,ACH_DEBIT,76797.12,,
DEBIT,12/12/2022,"PGANDE           WEB ONLINE 36861227120722  WEB ID: 5940742640",-218.19,ACH_DEBIT,82473.65,,
CREDIT,12/12/2022,"Online Transfer from SAV ...8208 transaction#: 16003126698",19800.61,ACCT_XFER,82691.84,,
DEBIT,12/07/2022,"ONLINE DOMESTIC WIRE FEE",-25.00,FEE_TRANSACTION,62891.23,,
DEBIT,12/07/2022,"ONLINE DOMESTIC WIRE TRANSFER VIA: CY NATL BK LA/122016066 A/C: LAWYERS TITLE COMPANY LOS ANGELES CA 90071 US REF: 0042201281/BNF/0042201281/TIME/08:00 IMAD: 1207B1QGC08C005073 TRN: 3024342341ES 12/07",-25200.00,WIRE_OUTGOING,62916.23,,
DEBIT,12/06/2022,"COMN CAP APY F1  AUTO PAY   P22337143904607 WEB ID: 1651180275",-102.62,ACH_DEBIT,88116.23,,
DEBIT,12/02/2022,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-334.08,ACH_DEBIT,88218.85,,
DEBIT,12/02/2022,"DISCOVER         E-PAYMENT  3532            WEB ID: 3510020270",-37.46,ACH_DEBIT,88552.93,,
DEBIT,11/17/2022,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-242.54,ACH_DEBIT,88590.39,,
DEBIT,11/09/2022,"INTERNATIONAL INCOMING WIRE FEE",-15.00,FEE_TRANSACTION,88832.93,,
DEBIT,11/09/2022,"PGANDE           WEB ONLINE 33840914110422  WEB ID: 5940742640",-57.20,ACH_DEBIT,88847.93,,
CREDIT,11/09/2022,"BOOK TRANSFER CREDIT B/O: BANK OF CHINA LIMITED HEAD OFFICE BEIJING CHINA 100818 CN ORG:/101710564328 1/SUN TIEJUN OGB: BANK OF CHINA SHIJIAZHUANG CHINA 050000 CN REF:/RFB/XUEFEISHENGHUOFEI BNF S ADDR:ITED STATES/CHGS/USD10,00/ TRN: 3332169313FS",49990.00,WIRE_INCOMING,88905.13,,
DEBIT,11/08/2022,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-2500.06,ACH_DEBIT,38915.13,,
DEBIT,11/04/2022,"COMN CAP APY F1  AUTO PAY   P22307134505757 WEB ID: 1651180275",-87.30,ACH_DEBIT,41415.19,,
DEBIT,11/02/2022,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-435.81,ACH_DEBIT,41502.49,,
DEBIT,11/02/2022,"DISCOVER         E-PAYMENT  3532            WEB ID: 3510020270",-344.17,ACH_DEBIT,41938.30,,
DEBIT,10/17/2022,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-139.19,ACH_DEBIT,42282.47,,
DEBIT,10/13/2022,"PGANDE           WEB ONLINE 31145869100722  WEB ID: 5940742640",-134.65,ACH_DEBIT,42421.66,,
DEBIT,10/11/2022,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-235.61,ACH_DEBIT,42556.31,,
DEBIT,10/03/2022,"DISCOVER         E-PAYMENT  3532            WEB ID: 3510020270",-575.14,ACH_DEBIT,42791.92,,
DEBIT,10/03/2022,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-1178.74,ACH_DEBIT,43367.06,,
DEBIT,10/03/2022,"OREGON STATE     OSUPAYMENT 952010          WEB ID: 9110996001",-4392.00,ACH_DEBIT,44545.80,,
DEBIT,09/19/2022,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-35.82,ACH_DEBIT,48937.80,,
DEBIT,09/12/2022,"PGANDE           WEB ONLINE 27992374090722  WEB ID: 5940742640",-129.32,ACH_DEBIT,48973.62,,
DEBIT,09/08/2022,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-5080.42,ACH_DEBIT,49102.94,,
DEBIT,09/07/2022,"COMN CAP APY F1  AUTO PAY   P22246115083997 WEB ID: 1651180275",-19.65,ACH_DEBIT,54183.36,,
DEBIT,09/02/2022,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-587.34,ACH_DEBIT,54203.01,,
DEBIT,09/02/2022,"DISCOVER         E-PAYMENT  3532            WEB ID: 3510020270",-106.80,ACH_DEBIT,54790.35,,
DEBIT,08/31/2022,"CVS/PHARMACY #09 09856 Sunnyvale CA          08/31 Purchase $1.99 Cash Back $10.00",-11.99,DEBIT_CARD,54897.15,,
DEBIT,08/17/2022,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-105.43,ACH_DEBIT,54909.14,,
DEBIT,08/11/2022,"PGANDE           WEB ONLINE 25202503080822  WEB ID: 5940742640",-100.85,ACH_DEBIT,55014.57,,
DEBIT,08/08/2022,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-2877.20,ACH_DEBIT,55115.42,,
DEBIT,08/02/2022,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-1177.68,ACH_DEBIT,57992.62,,
CREDIT,07/25/2022,"ATM CASH DEPOSIT 07/23 2200 EL CAMINO REAL SANTA CLARA CA",600.00,ATM,59170.30,,
CREDIT,07/25/2022,"ATM CASH DEPOSIT 07/23 2200 EL CAMINO REAL SANTA CLARA CA",4600.00,ATM,58570.30,,
